-2.32,2.20,8.96,113
-2.33,2.21,8.76,154
-2.23,2.29,8.84,185
-2.05,2.03,8.83,216
-2.65,1.87,8.87,247
-2.82,1.47,8.38,278
-3.26,1.67,8.33,309
-2.51,1.85,8.41,340
-2.13,2.09,8.83,371
-2.12,2.06,9.32,402
-2.13,2.02,9.70,434
-2.37,2.01,10.08,464
-2.40,1.66,9.53,495
-2.51,1.46,8.90,527
-2.63,1.84,9.04,558
-2.18,2.19,9.26,588
-1.52,2.12,9.40,620
-1.90,2.18,9.48,651
-2.45,2.12,9.30,681
-2.50,2.07,9.10,713
-2.41,2.26,9.13,744
-2.45,2.30,8.91,775
-2.75,2.40,8.80,806
-2.76,2.17,8.60,837
-2.90,1.80,8.81,868
-2.99,1.72,8.89,903
-2.63,1.66,8.85,933
-2.38,1.72,9.10,965
-2.05,1.83,9.04,996
-1.69,2.11,8.84,1028
-1.51,2.35,9.01,1058
-1.60,2.09,9.30,1090
-2.07,1.82,9.91,1121
-2.17,2.19,10.70,1152
-1.23,2.16,10.16,1183
-1.16,2.34,8.95,1215
-1.51,2.48,9.23,1246
-1.78,2.37,9.48,1277
-1.99,2.05,9.75,1308
-2.17,1.78,9.49,1340
-2.24,1.86,9.20,1371
-1.76,2.18,9.00,1402
-1.62,1.56,9.97,1439
-2.73,1.50,9.96,1471
-2.41,1.73,9.22,1502
-1.66,2.28,8.95,1533
-1.99,2.39,9.22,1564
-2.66,2.43,8.90,1596
-3.13,2.27,8.72,1631
-3.81,1.23,9.11,1661
-4.93,0.54,10.32,1692
-4.40,1.23,11.00,1724
-3.24,1.41,9.57,1756
-1.87,1.45,9.47,1786
-1.51,1.43,8.58,1817
-1.69,2.62,8.56,1849
-0.40,2.55,8.39,1880
-0.40,2.52,8.50,1911
-0.06,3.25,9.15,1942
0.59,3.05,8.77,1974
0.51,3.15,8.07,2004
-0.56,2.66,8.24,2036
-1.33,2.21,8.85,2067
-1.08,2.16,9.28,2099
-0.42,2.46,9.99,2129
0.83,3.33,10.46,2160
0.78,3.48,9.65,2192
-1.15,3.27,9.38,2223
-1.40,3.64,9.21,2254
-0.73,3.54,9.72,2285
-0.52,3.87,7.98,2317
-1.48,3.07,6.71,2348
-2.60,2.68,7.32,2382
-2.60,3.57,8.44,2414
-2.79,3.41,9.26,2445
-2.86,3.08,9.12,2477
-2.70,2.81,9.11,2507
-2.53,3.23,9.23,2539
-3.48,2.06,8.66,2570
-4.26,2.35,9.38,2601
-4.58,3.47,8.50,2632
-3.91,1.70,7.33,2664
-5.02,3.14,8.40,2695
-5.31,3.60,8.97,2726
-6.08,3.02,8.07,2757
-6.66,3.44,9.12,2789
-5.37,2.57,9.88,2820
-4.22,2.17,10.20,2851
-3.41,1.06,9.63,2882
-4.50,0.53,8.20,2914
-4.81,0.91,6.18,2945
-4.07,1.07,5.84,2976
-4.17,1.47,7.11,3007
-4.36,1.26,6.99,3039
-6.12,2.60,6.57,3069
-6.02,4.42,7.70,3104
-5.25,3.94,7.86,3135
-6.41,3.74,8.42,3167
-7.04,3.33,8.04,3197
-6.53,3.73,6.50,3229
-5.81,4.07,5.38,3260
-5.81,4.80,4.85,3292
-5.12,5.20,5.65,3322
-4.84,4.49,6.12,3354
-5.02,3.78,7.03,3385
-4.09,3.43,7.51,3417
-2.46,4.02,6.65,3447
-1.63,4.45,5.83,3479
-3.56,4.92,5.27,3510
-5.12,5.27,4.90,3542
-5.77,5.44,5.59,3572
-4.87,4.80,6.66,3604
-4.13,4.14,7.22,3635
-3.99,4.41,7.51,3666
-4.08,4.44,7.65,3697
-4.48,4.31,7.84,3729
-4.85,4.06,7.79,3760
-4.93,4.25,7.57,3791
-4.26,4.39,7.35,3826
-3.94,4.37,7.75,3857
-4.28,4.05,8.23,3889
-4.59,4.11,8.05,3919
-4.20,4.07,6.87,3951
-4.49,4.03,6.42,3982
-4.23,4.71,6.93,4014
-2.95,4.62,6.65,4044
-3.09,4.94,6.83,4076
-3.00,5.35,7.40,4107
-2.74,5.29,7.80,4139
-2.75,5.06,7.82,4169
-3.12,4.74,8.51,4200
-4.22,3.86,7.34,4232
-3.07,3.39,7.94,4262
-2.89,3.63,8.15,4294
-3.07,3.17,8.19,4325
-3.52,3.28,8.53,4357
-2.90,3.06,7.59,4387
-3.33,3.32,7.92,4419
-3.14,3.38,7.47,4450
-3.42,3.46,7.37,4482
-3.43,2.98,7.21,4512
-3.36,2.53,7.17,4547
-3.12,2.07,7.08,4579
-3.32,1.94,7.32,4610
-3.61,1.76,8.13,4641
-3.65,1.28,9.03,4672
-3.65,1.12,10.02,4704
-3.40,1.15,10.12,4734
-3.55,0.91,10.02,4766
-4.33,0.76,10.01,4798
-4.66,0.62,9.70,4829
-4.66,0.34,9.84,4860
-5.43,-0.04,10.01,4891
-5.72,-0.22,10.22,4923
-5.62,-0.59,10.50,4954
-5.04,-1.26,10.83,4985
-4.15,-2.07,10.85,5017
-4.17,-2.19,9.84,5048
-3.91,-1.39,8.40,5080
-3.86,-0.91,8.81,5110
-3.86,-1.06,9.73,5142
-3.21,-0.96,9.98,5173
-2.64,-0.87,9.63,5204
-3.18,-1.40,9.64,5235
-4.38,-2.09,9.10,5270
-4.69,-2.42,10.05,5302
-3.45,-2.81,10.18,5332
-3.21,-2.92,8.39,5370
-3.65,-2.57,8.17,5401
-3.14,-1.88,8.27,5432
-1.86,-1.57,8.11,5464
-1.77,-1.33,10.43,5494
-0.55,-1.72,10.48,5526
0.23,-1.79,8.99,5557
-0.95,-1.74,7.74,5587
-2.38,-1.61,9.43,5619
-1.25,-2.26,10.45,5650
-0.64,-1.54,10.54,5682
-1.45,-1.30,9.43,5712
-2.15,-1.37,8.91,5744
-1.73,-1.51,8.94,5775
-1.56,-1.88,9.39,5807
-1.94,-1.63,9.11,5837
-2.70,-1.58,8.37,5869
-3.46,-1.34,8.10,5900
-3.37,-1.07,8.42,5932
-3.23,-0.66,8.85,5966
-3.32,-0.53,8.64,5997
-3.49,-0.44,7.40,6028
-2.90,0.13,6.19,6060
-2.41,0.19,5.79,6090
-3.55,-0.40,5.60,6122
-4.97,-0.83,6.31,6153
-5.52,-0.95,8.80,6183
-5.10,-2.02,11.07,6215
-4.47,-2.86,11.94,6246
-4.89,-2.12,12.59,6278
-4.70,-1.32,13.23,6308
-3.70,-1.10,10.84,6340
-3.53,-0.87,8.81,6371
-3.52,-0.58,7.37,6403
-2.95,-0.46,6.73,6433
-1.97,0.20,6.71,6465
-1.89,0.17,7.05,6496
-2.78,-0.03,7.33,6528
-3.25,0.21,7.74,6558
-2.38,0.49,8.04,6589
-2.27,0.48,8.20,6621
-3.29,0.37,8.66,6656
-3.14,0.36,8.99,6686
-2.14,0.84,7.55,6718
-2.40,0.98,7.79,6749
